Month-Year,Stock Name,Week,Percentage Change
Mar-2023,ABB.NS,13,-0.4089406588952121
Mar-2023,ABB.NS,14,1.2198649080205661
Apr-2023,ABB.NS,15,0.6923394363311997
Apr-2023,ABB.NS,16,-4.934038883893693
Apr-2023,ABB.NS,17,-2.3444527852396995
Apr-2023,ABB.NS,18,6.405267417968993
May-2023,ABB.NS,19,8.03858053832633
May-2023,ABB.NS,20,3.6803765844422314
May-2023,ABB.NS,21,1.0193362642493142
May-2023,ABB.NS,22,2.8652522346655758
May-2023,ABB.NS,23,2.350445902534005
Jun-2023,ABB.NS,23,1.9494758723841175
Jun-2023,ABB.NS,24,2.930820728985862
Jun-2023,ABB.NS,25,4.467113899962659
Jun-2023,ABB.NS,26,-2.032280799047978
Mar-2023,ABBOTINDIA.NS,13,-1.9094530227203057
Mar-2023,ABBOTINDIA.NS,14,2.978053134516427
Apr-2023,ABBOTINDIA.NS,15,2.8077758631922625
Apr-2023,ABBOTINDIA.NS,16,-1.4801821156158257
Apr-2023,ABBOTINDIA.NS,17,-0.45899951859403154
Apr-2023,ABBOTINDIA.NS,18,-1.1046158349707016
May-2023,ABBOTINDIA.NS,19,1.2106872923634464
May-2023,ABBOTINDIA.NS,20,-5.5261846274342235
May-2023,ABBOTINDIA.NS,21,-1.5524307518371927
May-2023,ABBOTINDIA.NS,22,2.472032601728351
May-2023,ABBOTINDIA.NS,23,-0.7120737377705004
Jun-2023,ABBOTINDIA.NS,23,1.5025934318243295
Jun-2023,ABBOTINDIA.NS,24,-0.18779643782220257
Jun-2023,ABBOTINDIA.NS,25,3.420247354328694
Jun-2023,ABBOTINDIA.NS,26,-1.8801827354017395
Mar-2023,ABCAPITAL.NS,13,-6.552059682127793
Mar-2023,ABCAPITAL.NS,14,5.171232876712336
Apr-2023,ABCAPITAL.NS,15,2.6657997399219724
Apr-2023,ABCAPITAL.NS,16,-1.2832550860719947
Apr-2023,ABCAPITAL.NS,17,-4.008502884907376
Apr-2023,ABCAPITAL.NS,18,4.402123009678416
May-2023,ABCAPITAL.NS,19,1.607621315867828
May-2023,ABCAPITAL.NS,20,-6.339644291451527
May-2023,ABCAPITAL.NS,21,-1.0863005431502613
May-2023,ABCAPITAL.NS,22,-0.571600481347767
May-2023,ABCAPITAL.NS,23,2.8071234530636917
Jun-2023,ABCAPITAL.NS,23,0.4073319755600914
Jun-2023,ABCAPITAL.NS,24,3.2344213649851565
Jun-2023,ABCAPITAL.NS,25,0.36650690724556284
Jun-2023,ABCAPITAL.NS,26,-2.4797993870158757
Mar-2023,ABFRL.NS,13,0.3076923076923104
Mar-2023,ABFRL.NS,14,2.5598086124401886
Apr-2023,ABFRL.NS,15,0.2554575011611625
Apr-2023,ABFRL.NS,16,2.1626492453255293
